StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,Q_RecaptchaScore,Gender,Gender-Other,AgeGroup,Ethnicity,Ethnicity-Other,Education,EmploymentStatus,PoliticalBelief,ExperienceChronicPain,OpiodsDeathsIncreasing,IsPlacebo,MC_DesireToLearn,MC_PortrayedHarm,MC_MisInfo,MC_Addictive,RandomId,IPAddress,Postal Code,City,Region,Country,CountryCode,CurrentDate,MC_Legal
11/28/2020 11:00,11/28/2020 13:18,,,FALSE,11/28/2020 13:18,FS_3L0VqTzzhZgEzUm,,,,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Employed,Liberal,No,Strongly agree,,,,,,47560,73.181.16.53,,,CO,United States,US,11/28/2020 13:18,
11/28/2020 11:00,11/28/2020 11:10,,,FALSE,11/28/2020 11:10,FS_1LMvBCj45gXkbsN,,,,Female,,25-35,White/Caucasian,,Some college,Employed,Ind./Other,Yes,Strongly agree,Treatment,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,92469,108.254.224.255,,,TN,United States,US,11/28/2020 11:10,
11/28/2020 11:01,11/28/2020 11:12,,,FALSE,11/28/2020 11:12,FS_3L5XlgEFrORu5Ye,,,,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Employed,Liberal,Yes,Strongly agree,Placebo,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,10554,73.81.122.171,,,DE,United States,US,11/28/2020 11:12,
11/28/2020 11:03,11/28/2020 11:11,,,FALSE,11/28/2020 11:11,FS_3iUsdJ6Vn37wVQk,,,,Male,,25-35,White/Caucasian,,High school,Employed,Ind./Other,Yes,Somewhat agree,Treatment,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,93352,23.31.239.17,,,NJ,United States,US,11/28/2020 11:11,
11/28/2020 11:33,11/28/2020 11:47,,,FALSE,11/28/2020 11:47,FS_12SwXTg0fACDdaq,,,,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Employed,Conservative,Yes,Somewhat agree,Treatment,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,67496,76.169.215.68,,,CA,United States,US,11/28/2020 11:47,
11/28/2020 11:37,11/28/2020 11:51,,,FALSE,11/28/2020 11:51,FS_6zNu5vhnrBQcmeR,,,,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Employed,Liberal,No,Strongly agree,,,,,,99178,73.147.12.248,,,WV,United States,US,11/28/2020 11:51,
11/28/2020 12:01,11/28/2020 12:08,,,FALSE,11/28/2020 12:08,FS_1mJzv5Gf2TRKh13,,,,Male,,25-35,Black or African Am.,,>=Bachelor's degree,Employed,Conservative,Yes,Strongly agree,Placebo,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,83344,50.231.89.132,,,GA,United States,US,11/28/2020 12:08,
11/28/2020 12:08,11/28/2020 12:25,,,FALSE,11/28/2020 12:25,FS_2ts57ljxE2r0tZ1,,,,Female,,25-35,Black or African Am.,,>=Bachelor's degree,Employed,Conservative,Yes,Strongly agree,Placebo,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,34506,38.68.51.4,,,GA,United States,US,11/28/2020 12:25,
11/28/2020 14:06,11/28/2020 15:21,,,FALSE,11/28/2020 15:21,FS_2zUeTDYpgxAZHV9,,,,Male,,25-35,White/Caucasian,,Some college,Employed,Conservative,Yes,Neither agree nor disagree,,,,,,76380,73.169.158.253,,,WA,United States,US,11/28/2020 15:21,
11/28/2020 11:01,11/28/2020 11:10,,,FALSE,11/28/2020 11:10,FS_2EtyIQgbyYkfEYK,,,,Female,,35-45,White/Caucasian,,Some college,Employed,Liberal,Yes,Somewhat agree,Placebo,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,65671,184.61.239.25,,,MI,United States,US,11/28/2020 11:10,
11/28/2020 11:06,11/28/2020 11:12,,,FALSE,11/28/2020 11:12,FS_2455kKvpPWgZ2q5,,,,Female,,35-45,White/Caucasian,,>=Bachelor's degree,Employed,Liberal,Yes,Somewhat agree,Treatment,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,26430,73.161.155.120,,,ND,United States,US,11/28/2020 11:12,
11/28/2020 11:06,11/28/2020 11:26,,,FALSE,11/28/2020 11:26,FS_0IELjjNtCsgBJTj,,,,Female,,35-45,White/Caucasian,,>=Bachelor's degree,Employed,Conservative,Yes,Somewhat agree,Placebo,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,42537,106.217.15.159,,,India,India,India,11/28/2020 11:26,
11/28/2020 11:09,11/28/2020 11:20,,,FALSE,11/28/2020 11:20,FS_eKas9XkDTsjSNih,,,,Male,,35-45,White/Caucasian,,Some college,Employed,Liberal,Yes,Strongly agree,Treatment,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,55706,65.26.132.94,,,MO,United States,US,11/28/2020 11:20,
11/28/2020 12:22,11/28/2020 21:24,,,FALSE,11/28/2020 21:24,FS_3eeIS37y7X60UcD,,,,Female,,35-45,Black or African Am.,,Some college,Employed,Ind./Other,Yes,Neither agree nor disagree,,,,,,52790,24.28.71.125,,,TX,United States,US,11/28/2020 21:24,
11/28/2020 11:02,11/28/2020 11:04,,,FALSE,11/28/2020 11:04,FS_DBtLKJgWbhKIv7z,,,,Female,,45-55,White/Caucasian,,>=Bachelor's degree,Employed,Ind./Other,Yes,Strongly agree,,,,,,74691,98.167.76.89,,,NV,United States,US,11/28/2020 11:04,
11/28/2020 11:03,11/28/2020 11:06,,,FALSE,11/28/2020 11:06,FS_2TBFQfFhRMhNpWN,,,,Female,,45-55,White/Caucasian,,Some college,Employed,Liberal,No,Strongly agree,,,,,,84593,73.225.165.65,,,WA,United States,US,11/28/2020 11:06,
11/28/2020 11:03,11/28/2020 11:14,,,FALSE,11/28/2020 11:14,FS_2sTgU3RDfLRrhUs,,,,Male,,45-55,White/Caucasian,,>=Bachelor's degree,Employed,Conservative,Yes,Somewhat agree,Treatment,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,95038,173.70.2.215,,,NJ,United States,US,11/28/2020 11:14,
11/28/2020 11:03,11/28/2020 11:15,,,FALSE,11/28/2020 11:15,FS_2XhQfUWO52KMgXw,,,,Male,,45-55,White/Caucasian,,Some college,Not Employed,Ind./Other,Yes,Somewhat agree,Placebo,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,24761,76.105.14.4,,,CA,United States,US,11/28/2020 11:15,
11/28/2020 11:03,11/28/2020 11:06,,,FALSE,11/28/2020 11:06,FS_3rP3qLSXjZSEosp,,,,Male,,45-55,White/Caucasian,,>=Bachelor's degree,Not Employed,Liberal,Yes,Strongly agree,,,,,,85847,24.20.18.225,,,OR,United States,US,11/28/2020 11:06,
11/28/2020 11:04,11/28/2020 11:14,,,FALSE,11/28/2020 11:14,FS_a2AhO6qPvNBO6el,,,,Female,,45-55,Hispanic/Latino,,>=Bachelor's degree,Employed,Liberal,Yes,Strongly agree,Treatment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,13855,70.178.143.59,,,AR,United States,US,11/28/2020 11:14,
11/28/2020 11:04,11/28/2020 12:03,,,FALSE,11/28/2020 12:03,FS_24laJ4MJlVWS4tG,,,,Female,,45-55,White/Caucasian,,>=Bachelor's degree,Employed,Ind./Other,No,Strongly agree,Treatment,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,49979,108.87.24.193,,,OH,United States,US,11/28/2020 12:03,
11/28/2020 11:04,11/28/2020 11:19,,,FALSE,11/28/2020 11:19,FS_3FPxu6NVOlu4PMY,,,,Male,,45-55,Black or African Am.,,>=Bachelor's degree,Employed,Conservative,No,Strongly agree,Treatment,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,41834,68.2.79.11,,,AZ,United States,US,11/28/2020 11:19,
11/28/2020 11:04,11/28/2020 11:15,,,FALSE,11/28/2020 11:15,FS_PMMujUMwQifMy77,,,,Female,,45-55,Hispanic/Latino,,>=Bachelor's degree,Employed,Liberal,Yes,Somewhat agree,Treatment,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,59133,70.177.72.27,,,OK,United States,US,11/28/2020 11:15,
11/28/2020 11:07,11/28/2020 11:16,,,FALSE,11/28/2020 11:16,FS_DPsgRFyeVgH1Qbf,,,,Female,,45-55,White/Caucasian,,>=Bachelor's degree,Employed,Conservative,Yes,Somewhat agree,Placebo,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,87852,71.172.231.123,,,NJ,United States,US,11/28/2020 11:16,
11/28/2020 11:10,11/28/2020 11:11,,,FALSE,11/28/2020 11:11,FS_1DD2CoZNnDdTfmP,,,,Male,,45-55,White/Caucasian,,>=Bachelor's degree,Employed,Liberal,Yes,Strongly agree,,,,,,56728,66.115.176.174,,,GA,United States,US,11/28/2020 11:11,
11/28/2020 11:13,11/28/2020 11:27,,,FALSE,11/28/2020 11:27,FS_3G3THJdYzjhpLax,,,,Female,,45-55,Hispanic/Latino,,>=Bachelor's degree,Employed,Liberal,Yes,Strongly agree,Treatment,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,65322,72.200.22.106,,,LA,United States,US,11/28/2020 11:27,
11/28/2020 11:57,11/28/2020 11:58,,,FALSE,11/28/2020 11:58,FS_2Pk5Kxiof8u0X16,,,,Male,,45-55,White/Caucasian,,>=Bachelor's degree,Employed,Ind./Other,Yes,,,,,,,32701,108.213.140.246,,,TX,United States,US,11/28/2020 11:58,
11/28/2020 11:03,11/28/2020 11:27,,,FALSE,11/28/2020 11:27,FS_2w5go6whqB87eUu,,,,Female,,55 and Older,White/Caucasian,,>=Bachelor's degree,Employed,Liberal,Yes,Strongly agree,Treatment,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,16642,204.60.12.111,,,TX,United States,US,11/28/2020 11:27,
11/28/2020 11:06,11/28/2020 11:17,,,FALSE,11/28/2020 11:17,FS_3hDtOhmeP9CpzM9,,,,Female,,55 and Older,White/Caucasian,,Some college,Employed,Conservative,Yes,Strongly agree,Treatment,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,64607,107.77.232.175,,,GA,United States,US,11/28/2020 11:17,
11/28/2020 11:09,11/28/2020 11:15,,,FALSE,11/28/2020 11:15,FS_1IKHPvLU64nchz2,,,,Female,,55 and Older,White/Caucasian,,>=Bachelor's degree,Employed,Conservative,Yes,Somewhat agree,Treatment,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,38690,50.126.67.153,,,OR,United States,US,11/28/2020 11:15,
11/28/2020 11:16,11/28/2020 11:21,,,FALSE,11/28/2020 11:21,FS_2PdOn9a2vqYKeSn,,,,Female,,55 and Older,White/Caucasian,,High school,Employed,Liberal,Yes,Somewhat agree,,,,,,99552,45.36.240.171,,,NC,United States,US,11/28/2020 11:21,
11/28/2020 11:18,11/28/2020 11:27,,,FALSE,11/28/2020 11:27,FS_3g0pq3yNMWclObm,,,,Male,,55 and Older,White/Caucasian,,>=Bachelor's degree,Employed,Conservative,Yes,Strongly agree,Treatment,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,30908,75.40.24.179,,,GA,United States,US,11/28/2020 11:27,
11/28/2020 11:19,11/28/2020 11:30,,,FALSE,11/28/2020 11:30,FS_ezzaqDq7Q40j6sF,,,,Male,,55 and Older,White/Caucasian,,Some college,Not Employed,Conservative,Yes,Strongly agree,Placebo,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,39218,174.27.20.201,,,ID,United States,US,11/28/2020 11:30,
11/28/2020 11:46,11/28/2020 12:22,,,FALSE,11/28/2020 12:22,FS_p9Okw7dzLVTEz2p,,,,Female,,55 and Older,White/Caucasian,,>=Bachelor's degree,Employed,Conservative,No,Somewhat agree,Treatment,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,86580,66.177.64.130,,,FL,United States,US,11/28/2020 12:22,
